Data/InitialText,Data/Label,Data/Mood
According to the large clock over the arrivals board he had ten minutes left to get on the train to Hogwarts and he had no idea how to do it,4,Sad
he was stranded in the middle of a station with a trunk he could hardly lift a pocket full of wizard money and a large owl,4,Sad
Hagrid must have forgotten to tell him something you had to do like tapping the third brick on the left to get into Diagon Alley,4,Sad
He wondered if he should get out his wand and start tapping the ticket inspectors stand between platforms nine and ten,3,Excite
At that moment a group of people passed just behind him and he caught a few words of what they were saying,3,Excite
packed with Muggles of course,5,Anger
The speaker was a plump woman who was talking to four boys all with flaming red hair,0,Neutral
Each of them was pushing a trunk like Harrys in front of him and they had an owl,3,Excite
Heart hammering Harry pushed his cart after them,3,Excite
They stopped and so did he just near enough to hear what they were saying,1,Happy
Now whats the platform number? said the boys mother,3,Excite
Nine and three-quarters piped a small girl also red-headed who was holding her hand Mom can not I go,0,Neutral
You are not old enough Ginny now be quiet,5,Anger
All right Percy you go first,2,Love
What looked like the oldest boy marched toward platforms nine and ten,3,Excite
Harry watched careful not to blink in case he missed it but just as the boy reached the dividing barrier between the two platforms a large crowd of tourists came swarming in front of him and by the time the last backpack had cleared away the boy had vanished,4,Sad
Fred you next the plump woman said,2,Love
Honestly woman you call yourself our mother? can not you tell I am George?,5,Anger
Sorry George dear,4,Sad
Only joking I am Fred said the boy and off he went,1,Happy
His twin called after him to hurry up and he must have done so because a second later he had gone but how had he done it? Now the third brother was walking briskly toward the barrier he was almost there and then quite suddenly he was not anywhere,6,Fear
Excuse me Harry said to the plump woman,1,Happy
Hello dear she said,2,Love
First time at Hogwarts? Rons new too,2,Love
She pointed at the last and youngest of her sons,1,Happy
He was tall thin and gangling with freckles big hands and feet and a long nose,0,Neutral
Yes said Harry,0,Neutral
The thing is the thing is I do not know how to,4,Sad
How to get onto the platform? she said kindly and Harry nodded,2,Love
All you have to do is walk straight at the barrier between platforms nine and ten,3,Excite
Do not stop and do not be scared you will crash into it That is very important,3,Excite
Best do it at a bit of a run if you are nervous,1,Happy
Go on go now before Ron,1,Happy
He pushed his trolley around and stared at the barrier,6,Fear
It looked very solid,0,Neutral
People jostled him on their way to platforms nine and ten,1,Happy
He was going to smash right into that barrier and then he had be in trouble leaning forward on his cart he broke into a heavy run the barrier was coming nearer and nearer,4,Sad
he would not be able to stop the cart was out of control he was a foot away he closed his eyes ready for the crash It did not come he kept on running he opened his eyes,6,Fear
A scarlet steam engine was waiting next to a platform packed with people,3,Excite
A sign overhead said Hogwarts Express eleven Oclock,3,Excite
Harry looked behind him and saw a wrought-iron archway where the barrier had been with the words Platform Nine and Three-Quarters on it He had done it,1,Happy
Smoke from the engine drifted over the heads of the chattering crowd while cats of every color wound here and there between their legs,1,Happy
Owls hooted to one another in a disgruntled sort of way over the babble and the scraping of heavy trunks,1,Happy
The first few carriages were already packed with students some hanging out of the window to talk to their families some fighting over seats,2,Love
Harry pushed his cart off down the platform in search of an empty seat,1,Happy
He passed a round-faced boy who was saying Gran I have lost my toad again,4,Sad
A boy with dreadlocks was surrounded by a small crowd,3,Excite
Give us a look Lee go on,2,Love
The boy lifted the lid of a box in his arms and the people around him shrieked and yelled as something inside poked out a long hairy leg,6,Fear
Harry pressed on through the crowd until he found an empty compartment near the end of the train,0,Neutral
He put Hedwig inside first and then started to shove and heave his trunk toward the train door,0,Neutral
He tried to lift it up the steps but could hardly raise one end and twice he dropped it painfully on his foot,4,Sad
Want a hand? It was one of the red-haired twins he had followed through the barrier,2,Love
Yes please Harry panted,1,Happy
Oy Fred Come here and help,1,Happy
With the twins help Harrys trunk was at last tucked away in a corner of the compartment,2,Love
Thanks said Harry pushing his sweaty hair out of his eyes,1,Happy
Whats that? said one of the twins suddenly pointing at Harrys lightning scar,6,Fear
Arent you? he added to Harry,1,Happy
Oh him said Harry,2,Love
I mean yes I am,1,Happy
The two boys gawked at him and Harry felt himself turning red,2,Love
Then to his relief a voice came floating in through the trains open door,1,Happy
Fred? George? Are you there?,6,Fear
Coming Mom,1,Happy
With a last look at Harry the twins hopped off the train,1,Happy
Harry sat down next to the window where half hidden he could watch the red-haired family on the platform and hear what they were saying,3,Excite
Their mother had just taken out her handkerchief,0,Neutral
Ron you have got something on your nose,0,Neutral
The youngest boy tried to jerk out of the way but she grabbed him and began rubbing the end of his nose,2,Love
Mom get off He wriggled free,5,Anger
Aaah has ickle Ronnie got something on his nosie? said one of the twins,2,Love
Shut up said Ron,5,Anger
Wheres Percy? said their mother,2,Love
The oldest boy came striding into sight,1,Happy
He had already changed into his billowing black Hogwarts robes and Harry noticed a shiny silver badge on his chest with the letter P on it,3,Excite
Cant stay long Mother he said,4,Sad
I am up front the prefects have got two compartments to themselves,1,Happy
Oh are you a prefect Percy? said one of the twins with an air of great surprise,2,Love
You should have said something we had no idea,3,Excite
Hang on I think I remember him saying something about it said the other twin,1,Happy
Once,0,Neutral
Or twice,0,Neutral
A minute,0,Neutral
All summer,0,Neutral
Oh shut up said Percy the Prefect,5,Anger
How come Percy gets new robes anyway? said one of the twins,5,Anger
Because he is a prefect said their mother fondly,2,Love
All right dear well have a good term send me an owl when you get there,2,Love
She kissed Percy on the cheek and he left,2,Love
Now you two this year you behave yourselves,2,Love
If I get one more owl telling me you have youve blown up a toilet or,5,Anger
Blown up a toilet? We have never blown up a toilet,3,Excite
And look after Ron,2,Love
Do not worry ickle Ronniekins is safe with us,2,Love
Shut up said Ron again,5,Anger
He was almost as tall as the twins already and his nose was still pink where his mother had rubbed it,1,Happy
Hey Mom guess what? Guess who we just met on the train?,3,Excite
Harry leaned back quickly so they could not see him looking,6,Fear
You know that black-haired boy who was near us in the station? Know who he is?,3,Excite
Who?,0,Neutral
Harry Potter,0,Neutral
Harry heard the little girls voice,1,Happy
Oh Mom can I go on the train and see him Mom eh please,3,Excite
You have already seen him Ginny and the poor boy is not something you goggle at in a zoo,2,Love
Asked him,0,Neutral
Saw his scar,0,Neutral
Poor dear - no wonder he was alone I wondered,4,Sad
He was ever so polite when he asked how to get onto the platform,2,Love
Never mind that do you think he remembers what You-Know-Who looks like?,3,Excite
Their mother suddenly became very stern,5,Anger
I forbid you to ask him Fred,5,Anger
No do not you dare,5,Anger
As though he needs reminding of that on his first day at school,5,Anger
All right keep your hair on,1,Happy
A whistle sounded,0,Neutral
Hurry up their mother said and the three boys clambered onto the train,1,Happy
They leaned out of the window for her to kiss them good-bye and their younger sister began to cry,2,Love
Do not Ginny well send you loads of owls,2,Love
Well send you a Hogwarts toilet seat,1,Happy
George,0,Neutral
Only joking Mom,1,Happy
Harry saw the boys mother waving and their sister half laughing half crying running to keep up with the train until it gathered too much speed then she fell back and waved,2,Love
Harry watched the girl and her mother disappear as the train rounded the corner,4,Sad
Houses flashed past the window,0,Neutral
He did not know what he was going to but it had to be better than what he was leaving behind,3,Excite
The door of the compartment slid open and the youngest redheaded boy came in,1,Happy
Anyone sitting there? he asked pointing at the seat opposite Harry,1,Happy
Harry shook his head and the boy sat down,1,Happy
He glanced at Harry and then looked quickly out of the window pretending he had not looked,6,Fear
Harry saw he still had a black mark on his nose,1,Happy
Hey Ron,0,Neutral
The twins were back,0,Neutral
Listen were going down the middle of the train Lee Jordans got a giant tarantula down there,6,Fear
Harry said the other twin did we introduce ourselves? Fred and George Weasley,2,Love
And this is Ron our brother,2,Love
See you later then,1,Happy
Bye said Harry and Ron,1,Happy
The twins slid the compartment door shut behind them,0,Neutral
Are you really Harry Potter? Ron blurted out,6,Fear
Harry nodded,1,Happy
Oh -well I thought it might be one of Fred and Georges jokes said Ron,3,Excite
He pointed at Harrys forehead,0,Neutral
Harry pulled back his bangs to show the lightning scar,3,Excite
Ron stared,6,Fear
So That is where You-Know-Who Yes said Harry but I can not remember it,4,Sad
Well I remember a lot of green light but nothing else,4,Sad
Wow said Ron,0,Neutral
He sat and stared at Harry for a few moments then as though he had suddenly realized what he was doing he looked quickly out of the window again,6,Fear
Are all your family wizards? asked Harry who found Ron just as interesting as Ron found him,3,Excite
Er Yes I think so said Ron,1,Happy
I think Moms got a second cousin who is an accountant but we never talk about him,2,Love
The Weasleys were clearly one of those old wizarding families the pale boy in Diagon Alley had talked about,1,Happy
Horrible -well not all of them,5,Anger
My aunt and uncle and cousin are though,2,Love
Five said Ron,0,Neutral
For some reason he was looking gloomy,4,Sad
I am the sixth in our family to go to Hogwarts,0,Neutral
You could say I have got a lot to live up to,4,Sad
Bill and Charlie have already left Bill was head boy and Charlie was captain of Quidditch,3,Excite
Now Percys a prefect,1,Happy
Fred and George mess around a lot but they still get really good marks and everyone thinks they are really funny,2,Love
Everyone expects me to do as well as the others but if I do its no big deal because they did it first,4,Sad
You never get anything new either with five brothers,4,Sad
I have got Bills old robes Charlies old wand and Percys old rat,4,Sad
Ron reached inside his jacket and pulled out a fat gray rat which was asleep,2,Love
His names Scabbers and he is useless he hardly ever wakes up,2,Love
Percy got an owl from my dad for being made a prefect but they could not afford I mean I got Scabbers instead,4,Sad
Rons ears went pink,6,Fear
He seemed to think he had said too much because he went back to staring out of the window,6,Fear
Harry did not think there was anything wrong with not being able to afford an owl,1,Happy
After all he had never had any money in his life until a month ago and he told Ron so all about having to wear Dudleys old clothes and never getting proper birthday presents,4,Sad
This seemed to cheer Ron up,2,Love
and until Hagrid told me I did not know anything about being a wizard or about my parents or Voldemort,3,Excite
Ron gasped,6,Fear
You said You-Know-Whos name said Ron sounding both shocked and impressed,6,Fear
I am not trying to be brave or anything saying the name said Harry I just never knew you shouldnt,4,Sad
I bet he added voicing for the first time something that had been worrying him a lot lately I bet I am the worst in the class,4,Sad
You will not be,2,Love
Theres loads of people who come from Muggle families and they learn quick enough,1,Happy
While they had been talking the train had carried them out of London,0,Neutral
Now they were speeding past fields full of cows and sheep,0,Neutral
They were quiet for a time watching the fields and lanes flick past,0,Neutral
Around half past twelve there was a great clattering outside in the corridor and a smiling dimpled woman slid back their door and said Anything off the cart dears?,1,Happy
Harry who had not had any breakfast leapt to his feet but Rons ears went pink again and he muttered that he had brought sandwiches,4,Sad
Harry went out into the corridor,0,Neutral
He had never had any money for candy with the Dursleys and now that he had pockets rattling with gold and silver he was ready to buy as many Mars Bars as he could carry but the woman did not have Mars Bars,4,Sad
What she did have were Bettie Botts Every Flavor Beans Droobles Best Blowing Gum Chocolate Frogs,0,Neutral
Pumpkin Pasties Cauldron Cakes Licorice Wands and a number of other strange things Harry had never seen in his life,3,Excite
Not wanting to miss anything he got some of everything and paid the woman eleven silver Sickles and seven bronze Knuts,3,Excite
Ron stared as Harry brought it all back in to the compartment and tipped it onto an empty seat,3,Excite
Hungry are you?,1,Happy
Starving said Harry taking a large bite out of a pumpkin pasty,1,Happy
Ron had taken out a lumpy package and unwrapped it,1,Happy
There were four sandwiches inside,1,Happy
He pulled one of them apart and said She always forgets I do not like corned beef,4,Sad
Swap you for one of these said Harry holding up a pasty,2,Love
Go on,0,Neutral
You do not want this its all dry said Ron,4,Sad
She has not got much time he added quickly you know with five of us,4,Sad
Go on have a pasty said Harry who had never had anything to share before or indeed anyone to share it with,2,Love
It was a nice feeling sitting there with Ron eating their way through all Harrys pasties cakes and candies the sandwiches lay forgotten,2,Love
What are these? Harry asked Ron holding up a pack of Chocolate Frogs,3,Excite
They are not really frogs are they? He was starting to feel that nothing would surprise him,6,Fear
No said Ron,0,Neutral
But see what the card is,0,Neutral
I am missing Agrippa,0,Neutral
What?,0,Neutral
Oh of course you would not know Chocolate Frogs have cards inside them you know to collect famous witches and wizards,3,Excite
I have got about five hundred but I have not got Agrippa or Ptolemy,3,Excite
Harry unwrapped his Chocolate Frog and picked up the card,3,Excite
It showed a mans face,0,Neutral
He wore half- moon glasses had a long crooked nose and flowing silver hair beard and mustache,0,Neutral
Underneath the picture was the name Albus Dumbledore,2,Love
Do not tell me youd never heard of Dumbledore said Ron,4,Sad
Can I have a frog? I might get Agrippa thanks Harry turned over his card and read ALBUS DUMBLEDORE CURRENTLY HEADMASTER OF HOGWARTS,3,Excite
Professor Dumbledore enjoys chamber music and tenpin bowling,0,Neutral
Harry turned the card back over and saw to his astonishment that Dumbledores face had disappeared,6,Fear
He is gone,0,Neutral
Well you can not expect him to hang around all day said Ron,1,Happy
Hell be back,0,Neutral
No I have got Morgana again and I have got about six of her do you want it? You can start collecting,2,Love
Rons eyes strayed to the pile of Chocolate Frogs waiting to be unwrapped,2,Love
Help yourself said Harry,2,Love
But in you know the Muggle world people just stay put in photos,4,Sad
Do they? What they do not move at all? Ron sounded amazed,3,Excite
weird,0,Neutral
Harry stared as Dumbledore sidled back into the picture on his card and gave him a small smile,2,Love
Ron was more interested in eating the frogs than looking at the Famous Witches and Wizards cards but Harry could not keep his eyes off them,3,Excite
Soon he had not only Dumbledore and Morgana but Hengist of Woodcroft Alberic Grunnion Circe Paracelsus and Merlin,0,Neutral
He finally tore his eyes away from the druidess Cliodna who was scratching her nose to open a bag of Bertie Botts Every Flavor Beans,3,Excite
You want to be careful with those Ron warned Harry,6,Fear
When they say every flavor they mean every flavor you know you get all the ordinary ones like chocolate and peppermint and mar- malade but then you can get spinach and liver and tripe,1,Happy
Ron picked up a green bean looked at it carefully and bit into a corner,6,Fear
They had a good time eating the Every Flavor Beans,1,Happy
Harry got toast coconut baked bean strawberry curry grass coffee sardine and was even brave enough to nibble the end off a funny gray one Ron would not touch which turned out to be pepper,1,Happy
The countryside now flying past the window was becoming wilder,0,Neutral
The neat fields had gone,0,Neutral
Now there were woods twisting rivers and dark green hills,6,Fear
There was a knock on the door of their compartment and the round-faced boy Harry had passed on platform nine and threequarters came in,1,Happy
He looked tearful,4,Sad
Sorry he said but have you seen a toad at all?,4,Sad
When they shook their heads he wailed I have lost him He keeps getting away from me,4,Sad
Hell turn up said Harry,2,Love
Do not know why he is so bothered said Ron,4,Sad
If Id brought a toad Id lose it as quick as I could,1,Happy
Mind you I brought Scabbers so I can not talk,4,Sad
The rat was still snoozing on Rons lap,2,Love
He might have died and you would not know the difference said Ron in disgust,4,Sad
I tried to turn him yellow yesterday to make him more interesting but the spell did not work,4,Sad
He rummaged around in his trunk and pulled out a very battered-looking wand,4,Sad
It was chipped in places and something white was glinting at the end,4,Sad
Anyway He had just raised his wand when the compartment door slid open again,1,Happy
The toadless boy was back but this time he had a girl with him,3,Excite
She was already wearing her new Hogwarts robes,0,Neutral
Has anyone seen a toad? Nevilles lost one she said,4,Sad
She had a bossy sort of voice lots of bushy brown hair and rather large front teeth,0,Neutral
We have already told him we have not seen it said Ron but the girl was not listening she was looking at the wand in his hand,3,Excite
She sat down,0,Neutral
Ron looked taken aback,6,Fear
Er all right,0,Neutral
Sunshine daisies butter mellow Turn this stupid fat rat yellow,0,Neutral
Scabbers stayed gray and fast asleep,0,Neutral
Are you sure That is a real spell? said the girl,6,Fear
Well its not very good is it? I have tried a few simple spells just for practice and its all worked for me,1,Happy
Nobody in my familys magic at all it was ever such a surprise when I got my letter but I was ever so pleased of course,1,Happy
I mean its the very best school of witchcraft there is I have heard,1,Happy
I have learned all our course books by heart of course I just hope it will be enough I am Hermione Granger by the way who are you,3,Excite
Harry looked at Ron and was relieved to see by his stunned face that he had not learned all the course books by heart either,1,Happy
Harry Potter said Harry,0,Neutral
I know all about you of course I got a few extra books,3,Excite
for background reading and you are in Modern Magical History and The Rise and Fall of the Dark Arts and Great Wizarding Events of the Twentieth Century,3,Excite
Goodness did not you know Id have found out everything I could if it was me said Hermione,4,Sad
Do either of you know what house you will be in? I have been asking around and I hope I am in Gryffindor it sounds by far the best,2,Love
I hear Dumbledore himself was in it but I suppose Ravenclaw would not be too bad,3,Excite
Anyway wed better go and look for Nevilles toad,3,Excite
You two had better change you know I expect we will be there soon,1,Happy
And she left taking the toadless boy with her,1,Happy
Whatever house I am in I hope shes not in it said Ron,5,Anger
Stupid spell George gave it to me bet he knew it was a dud,5,Anger
What house are your brothers in? asked Harry,3,Excite
Gryffindor said Ron,0,Neutral
Gloom seemed to be settling on him again,4,Sad
Mom and Dad were in it too,2,Love
I do not suppose Ravenclaw would be too bad but imagine if they put me in Slytherin,6,Fear
That is the house Vol- I mean You-Know-Who was in?,3,Excite
Yeah said Ron,0,Neutral
He flopped back into his seat looking depressed,4,Sad
You know I think the ends of Scabbers whiskers are a bit lighter,4,Sad
said Harry trying to take Rons mind off houses,2,Love
So what do your oldest brothers do now that theyve left anyway?,3,Excite
Harry was wondering what a wizard did once he had finished school,3,Excite
Charlies in Romania studying dragons and Bills in Africa doing something for Gringotts said Ron,1,Happy
Did you hear about Gringotts? Its been all over the Daily Prophet but I do not suppose you get that with the Muggles someone tried to rob a high security vault,3,Excite
Harry stared,6,Fear
My dad says it must have been a powerful Dark wizard to get round Gringotts but they do not think they took anything That is whats odd,6,Fear
Course everyone gets scared when something like this happens in case You-Know-Whos behind it,6,Fear
He was starting to get a prickle of fear every time You- Know-Who was mentioned,6,Fear
He supposed this was all part of entering the magical world but it had been a lot more comfortable saying Voldemort without worrying,4,Sad
Whats your Quidditch team? Ron asked,0,Neutral
Er I do not know any Harry confessed,0,Neutral
What Ron looked dumbfounded,6,Fear
Oh you wait its the best game in the world And he was off explaining all about the four balls and the positions of the seven players,3,Excite
describing famous games he had been to with his brothers and the broomstick he had like to get if he had the money,3,Excite
He was just taking Harry through the finer points of the game when the compartment door slid open yey again but it was not Neville the toadless boy or Hermione Granger this time,3,Excite
Three boys entered and Harry recognized the middle one at once it was the pale boy from Madam Malkins robe shop,1,Happy
He was looking at Harry with a lot more interest than he had shown back in Diagon Alley,1,Happy
They are saying all down the train that Harry Potters in this compartment,1,Happy
Oh honestly do not you two read? Look read that there,5,Anger
Yes said Harry,0,Neutral
He was looking at the other boys,1,Happy
Both of them were thickset and looked extremely mean,6,Fear
Standing on either side of the pale boy they looked like bodyguards,6,Fear
Oh this is Crabbe and this is Goyle said the pale boy carelessly noticing where Harry was looking,1,Happy
And my names Malfoy Draco Malfoy,0,Neutral
Ron gave a slight cough which might have been hiding a snigget,1,Happy
Draco Malfoy looked at him,0,Neutral
Think my names funny do you? No need to ask who you are,5,Anger
My father told me all the Weasleys have red hair freckles and more children than they can afford,4,Sad
He turned back to Harry,0,Neutral
You will soon find out some wizarding families are much better than others Potter,2,Love
You do not want to go making friends with the wrong sort,2,Love
I can help you there,2,Love
He held out his hand to shake Harrys but Harry did not take it,5,Anger
I think I can tell who the wrong sort are for myself thanks he said coolly,5,Anger
Draco Malfoy did not go red but a pink tinge appeared in his pale cheeks,5,Anger
Id be careful if I were you Potter he said slowly,5,Anger
Unless you are a bit politer you will go the same way as your parents,4,Sad
They did not know what was good for them either,4,Sad
You hang around with riffraff like the Weasleys and that Hagrid and it will rub off on you,5,Anger
Both Harry and Ron stood up,5,Anger
Say that again Ron said his face as red as his hair,5,Anger
Oh you are going to fight us are you? Malfoy sneered,5,Anger
Unless you get out now said Harry more bravely than he felt because Crabbe and Goyle were a lot bigger than him or Ron,6,Fear
But we do not feel like leaving do we boys? We have eaten all our food and you still seem to have some,3,Excite
Goyle reached toward the Chocolate Frogs next to Ron - Ron leapt forward but before he had so much as touched Goyle Goyle let out a horrible yell,6,Fear
Scabbers the rat was hanging off his finger sharp little teeth sunk deep into Goyles knuckle,6,Fear
Crabbe and Malfoy backed away as Goyle swung Scabbers round and round howling and when Scabbets finally flew off and hit the window all three of them disappeared at once,6,Fear
Perhaps they thought there were more rats lurking among the sweets or perhaps they had heard footsteps because a second later Hermione Granger had come in,6,Fear
What has been going on? she said looking at the sweets all over the floor and Ron picking up Scabbers by his tail,3,Excite
I think he is been knocked out Ron said to Harry,4,Sad
No I do not believe it he is gone back to sleep-,2,Love
And so he had,0,Neutral
Harry explained about their meeting in Diagon Alley,1,Happy
I have heard of his family said Ron darkly,6,Fear
They were some of the first to come back to our side after You-Know-Who disappeared,6,Fear
My dad does not believe it,5,Anger
He says Malfoys father did not need an excuse to go over to the Dark Side,4,Sad
He turned to Hermione,0,Neutral
You would better hurry up and put your robes on I have just been up to the front to ask the conductor and he says were nearly there,3,Excite
You have not been fighting have you? you will be in trouble before we even get there,4,Sad
Scabbers has been fighting not us said Ron scowling at her,5,Anger
Would you mind leaving while we change?,1,Happy
All right I only came in here because people outside are behaving very childishly racing up and down the corridors said Hermione in a sniffy voice,5,Anger
And you have got dirt on your nose by the way did you know?,2,Love
Ron glared at her as she left,5,Anger
It was getting dark,6,Fear
He could see mountains and forests under a deep purple sky,6,Fear
He and Ron took off their jackets and pulled on their long black robes,0,Neutral
Rons were a bit short for him you could see his sneakers underneath them,4,Sad
A voice echoed through the train We will be reaching Hogwarts in five minutes time,3,Excite
Please leave your luggage on the train it will be taken to the school separately,3,Excite
Harrys stomach lurched with nerves and Ron he saw looked pale under his freckles,6,Fear
They crammed their pockets with the last of the sweets and joined the crowd thronging the corridor,3,Excite
The train slowed right down and finally stopped,1,Happy
People pushed their way toward the door and out on to a tiny dark platform,6,Fear
Harry shivered in the cold night air,6,Fear
Then a lamp came bobbing over the heads of the students and Harry heard a familiar voice First years First years over here All right there Harry?,2,Love
Hagrids big hairy face beamed over the sea of heads,2,Love
Come on follow me any more first years? Mind your step now first years follow me,1,Happy
Slipping and stumbling they followed Hagrid down what seemed to be a steep narrow path,6,Fear
It was so dark on either side of them that Harry thought there must be thick trees there,6,Fear
Nobody spoke much,4,Sad
Neville the boy who kept losing his toad sniffed once or twice,6,Fear
You all get your first sight of Hogwarts in a sec Hagrid called over his shoulder just round this bend here,3,Excite
The narrow path had opened suddenly onto the edge of a great black lake,6,Fear
Perched atop a high mountain on the other side its windows sparkling in the starry sky was a vast castle with many turrets and towers,3,Excite
No more than four to a boat Hagrid called pointing to a fleet of little boats sitting in the water by the shore,1,Happy
Harry and Ron were followed into their boat by Neville and Hermione,2,Love
Everyone in? shouted Hagrid who had a boat to himself,1,Happy
Right then FORWARD,0,Neutral
And the fleet of little boats moved off all at once gliding across the lake which was as smooth as glass,2,Love
Everyone was silent staring up at the great castle overhead,3,Excite
It towered over them as they sailed nearer and nearer to the cliff on which it stood,3,Excite
Heads down yelled Hagrid as the first boats reached the cliff,5,Anger
they all bent their heads and the little boats carried them through a curtain of ivy that hid a wide opening in the cliff face,1,Happy
They were carried along a dark tunnel which seemed to be taking them right underneath the castle until they reached a kind of underground harbor where they clambered out onto rocks and pebbles,3,Excite
Oy you there Is this your toad? said Hagrid who was checking the boats as people climbed out of them,2,Love
Trevor cried Neville blissfully holding out his hands,2,Love
Then they clambered up a passageway in the rock after Hagrids lamp coming out at last onto smooth damp grass right in the shadow of the castle,0,Neutral
They walked up a flight of stone steps and crowded around the huge Oak front door,0,Neutral
Everyone here? You there still got your toad?,2,Love
Hagrid raised a gigantic fist and knocked three times on the castle door,3,Excite
CHAPTER SEVEN,0,Neutral
THE SORTING HAT,0,Neutral
Albus Dumbledore had gotten to his feet,3,Excite
He was beaming at the students his arms opened wide as if nothing could have pleased him more than to see them all there,2,Love
The door swung open at once,0,Neutral
A tall black-haired witch in emerald-green robes stood there,0,Neutral
She had a very stern face and Harrys first thought was that this was not someone to cross,6,Fear
The first years Professor McGonagall said Hagrid,1,Happy
Thank you Hagrid,2,Love
I will take them from here,1,Happy
She pulled the door wide,0,Neutral
The entrance hall was so big you could have fit the whole of the Dursleys house in it,3,Excite
The stone walls were lit with flaming torches like the ones at Gringotts the ceiling was too high to make out and a magnificent marble staircase facing them led to the upper floors,3,Excite
They followed Professor McGonagall across the flagged stone floor,0,Neutral
Harry could hear the drone of hundreds of voices from a doorway to the right,1,Happy
the rest of the school must already be here but Professor McGonagall showed the first years into a small empty chamber off the hall,1,Happy
They crowded in standing rather closer together than they would usually have done peering about nervously,6,Fear
Welcome to Hogwarts said Professor McGonagall,2,Love
The start-of-term banquet will begin shortly but before you take your seats in the Great Hall you will be sorted into your houses,3,Excite
The Sorting is a very important ceremony because while you are here your house will be something like your family within Hogwarts,2,Love
You will have classes with the rest of your house sleep in your house dormitory and spend free time in your house common room,1,Happy
The four houses are called Gryffindor Hufflepuff Ravenclaw and Slytherin,1,Happy
Each house has its own noble history and each has produced outstanding witches and wizards,3,Excite
While you are at Hogwarts your triumphs will earn your house points while any rulebreaking will lose house points,1,Happy
At the end of the year the house with the most points is awarded the house cup a great honor,2,Love
I hope each of you will be a credit to whichever house becomes yours,3,Excite
The Sorting Ceremony will take place in a few minutes in front of the rest of the school,3,Excite
I suggest you all smarten yourselves up as much as you can while you are waiting,2,Love
Her eyes lingered for a moment on Nevilles cloak which was fastened under his left ear and on Rons smudged nose,5,Anger
Harry nervously tried to flatten his hair,6,Fear
I shall return when we are ready for you said Professor McGonagall,3,Excite
Please wait quietly,0,Neutral
She left the chamber,0,Neutral
Harry swallowed,6,Fear
How exactly do they sort us into houses? he asked Ron,3,Excite
Some sort of test I think,6,Fear
Fred said it hurts a lot but I think he was joking,6,Fear
Harrys heart gave a horrible jolt,6,Fear
A test? In front of the whole school?,6,Fear
But he did not know any magic you are what on earth would he have to do?,6,Fear
He had not expected something like this the moment they arrived,4,Sad
He looked around anxiously and saw that everyone else looked terrified too,6,Fear
No one was talking much except Hermione Granger who was whispering very fast about all the spells shed learned and wondering which one shed need,3,Excite
Harry tried hard not to listen to her,5,Anger
Hed never been more nervous never not even when he had had to take a school report home to the Dursleys saying that he had somehow turned his teachers wig blue,6,Fear
Any second now Professor McGonagall would come back and lead him to his doom,3,Excite
Then something happened that made him jump about a foot in the air several people behind him screamed,6,Fear
What the?,0,Neutral
He gasped,6,Fear
So did the people around him,0,Neutral
About twenty ghosts had just streamed through the back wall,6,Fear
Pearly-white and slightly transparent they glided across the room talking to one another and hardly glancing at the first years,6,Fear
They seemed to be arguing,5,Anger
What looked like a fat little monk was saying Forgive and forget I say we ought to give him a second chance,2,Love
My dear Friar have not we given Peeves all the chances he deserves? He gives us all a bad name and you know he is not really even a ghost I say what are you all doing here?,5,Anger
A ghost wearing a ruff and tights had suddenly noticed the first years,3,Excite
Nobody answered,0,Neutral
New students said the Fat Friar smiling around at them,2,Love
About to be Sorted I suppose?,1,Happy
A few people nodded mutely,6,Fear
Hope to see you in Hufflepuff said the Friar,2,Love
My old house you know,1,Happy
Move along now said a sharp voice,5,Anger
Professor McGonagall had returned,0,Neutral
One by one the ghosts floated away through the opposite wall,4,Sad
Now form a line Professor McGonagall told the first years and follow me,0,Neutral
Feeling oddly as though his legs had turned to lead Harry got into line behind a boy with sandy hair with Ron behind him and they walked out of the chamber back across the hall and through a pair of double doors into the Great Hall,3,Excite
Harry had never even imagined such a strange and splendid place,3,Excite
It was lit by thousands and thousands of candles that were floating in midair over four long tables where the rest of the students were sitting,0,Neutral
These tables were laid with glittering golden plates and goblets,0,Neutral
At the top of the hall was another long table where the teachers were sitting,0,Neutral
Professor McGonagall led the first years up here so that they came to a halt in a line facing the other students with the teachers behind them,1,Happy
The hundreds of faces staring at them looked like pale lanterns in the flickering candlelight,6,Fear
Dotted here and there among the students the ghosts shone misty silver,6,Fear
Mainly to avoid all the staring eyes Harry looked upward and saw a velvety black ceiling dotted with stars,3,Excite
He heard Hermione whisper Its bewitched to look like the sky outside,3,Excite
I read about it in Hogwarts A History,0,Neutral
It was hard to believe there was a ceiling there at all and that the Great Hall did not simply open on to the heavens,3,Excite
Harry quickly looked down again as Professor McGonagall silently placed a four-legged stool in front of the first years,3,Excite
On top of the stool she put a pointed wizards hat,0,Neutral
This hat was patched and frayed and extremely dirty,4,Sad
Aunt Petunia would not have let it in the house,4,Sad
Maybe they had to try and get a rabbit out of it Harry thought wildly that seemed the sort of thing noticing that everyone in the hall was now staring at the hat he stared at it too,6,Fear
For a few seconds there was complete silence,4,Sad
Then the hat twitched,6,Fear
A rip near the brim opened wide like a mouth and the hat began to sing Oh you may not think I am pretty But do not judge on what you see I will eat myself if you can find A smarter hat than me,2,Love
